,city,lat,long,weather,temperature,humidity,temp_max,cloudiness,date,wind_speed
0,rikitea,-23.1229544,-134.9680141,Clouds,73.94,77,73.94,68,1669472854,2.19
1,nuuk,64.175029,-51.7355386,Clouds,29.97,74,30.92,75,1669472858,11.5
2,novovasylivka,47.92271,35.48584,Clouds,45.0,79,45.0,100,1669472863,7.7
3,sampit,-2.5389113,112.949389,Clouds,74.68,96,74.68,100,1669472867,2.95
4,yulara,-25.2410108,130.9869405,Clouds,76.35,55,76.35,98,1669472871,3.58
5,faya,17.9209323,19.0953202,Clear,85.96,20,85.96,0,1669472954,18.41
6,derzhavinsk,51.0990849,66.3138516,Clouds,-3.03,86,-3.03,76,1669472958,11.27
7,nikolskoye,59.7034799,30.7861084,Clouds,13.91,86,13.91,99,1669472963,6.46
8,baruun-urt,46.68094,113.28347783638328,Snow,12.09,76,12.09,100,1669472967,5.46
9,puerto ayora,-0.7471674,-90.3134198,Clouds,67.19,99,72.21,100,1669472972,5.99
10,ouidah,6.3666147,2.0853599,Clouds,87.66,65,87.66,99,1669472976,11.5
11,la ronge,55.1005283,-105.2900485,Snow,26.78,59,26.78,100,1669472979,17.27
12,portland,45.5202471,-122.674194,Clouds,39.94,96,41.81,100,1669472435,3.0
13,busselton,-33.644499,115.3488754,Clear,55.02,73,55.02,3,1669472987,13.96
14,ushuaia,-54.806115899999995,-68.3184972880496,Clouds,47.89,66,47.89,75,1669472994,20.71
15,port alfred,-33.5981844,26.8914772,Clouds,65.05,85,65.05,84,1669472998,3.0
16,hithadhoo,1.7959425,73.38755195657038,Clouds,81.82,73,81.82,97,1669473002,8.43
17,bulungu,-6.0556272,21.9021756,Rain,73.98,91,73.98,82,1669473008,3.58
18,umzimvubu,-30.82491,28.92177617804983,Rain,54.45,94,54.45,100,1669473013,5.88
19,heihe,50.2323289,127.4951193,Clouds,2.01,92,2.01,19,1669473018,7.27
20,tiksi,71.636604,128.868546,Clouds,-20.4,95,-20.4,100,1669473022,7.81
21,saint-philippe,45.3584499,-73.4790045,Clouds,36.0,78,37.38,100,1669472744,6.91
22,jamestown,-15.9277296,-5.7160872,Clouds,69.15,84,69.15,53,1669473030,19.19
23,guerrero negro,27.9709506,-114.036389,Clear,58.89,44,58.89,6,1669473034,2.55
24,leningradskiy,54.129108,79.236702,Clear,-15.79,95,-15.79,7,1669473038,4.56
25,aksarka,66.5582332,67.8051987,Clouds,3.29,91,3.29,84,1669473043,5.82
26,faanui,-16.48243875,-151.73383197031578,Clouds,77.67,72,77.67,46,1669473047,14.36
27,upernavik,72.7847392,-56.1469625,Clouds,13.73,89,13.73,100,1669473051,11.07
28,georgetown,6.8137426,-58.1624465,Clouds,86.29,64,86.29,60,1669473054,5.66
29,vaini,-21.1925671,-175.1772797,Clouds,79.09,94,79.09,40,1669473063,5.75
30,bredasdorp,-34.533055,20.042778,Clouds,66.6,51,66.6,60,1669473067,14.29
31,barbar,24.4054184,76.6762662,Clear,67.12,30,67.12,0,1669473072,3.71
32,illoqqortoormiut,70.4850588,-21.9641992,Clouds,16.14,77,16.14,11,1669473076,9.44
33,atuona,-9.8037347,-139.0425737,Clouds,78.26,71,78.26,91,1669473080,15.9
34,new norfolk,-42.7801998,147.0615332,Clouds,51.78,65,56.93,97,1669473084,5.99
35,punta arenas,-53.1625688,-70.907822,Clouds,50.29,46,53.8,75,1669473088,25.32
36,aklavik,68.2182579,-135.013585,Clouds,10.4,92,10.4,100,1669473092,6.91
37,yellowknife,62.4540807,-114.377385,Clouds,-2.24,99,-2.24,94,1669473096,2.35
38,vung tau,10.3486485,107.0765028,Clouds,80.17,81,80.17,97,1669473100,10.92
39,nong bua,19.7253368,99.0986499,Clouds,69.98,98,69.98,40,1669473104,1.77
40,torbay,47.6576953,-52.726986,Clouds,37.89,92,39.09,100,1669473108,12.66
41,bambous virieux,-20.347199500000002,57.76474767388835,Clouds,77.56,69,77.56,40,1669473112,11.5
42,junction city,39.0286093,-96.8313978,Clear,35.55,84,38.61,0,1669473116,3.0
43,bedford,52.1363806,-0.4675041,Clouds,53.11,79,54.75,20,1669473120,12.66
44,salalah,17.0174945,54.1010923,Clouds,80.67,69,80.67,20,1669473124,5.75
45,limerick,52.661252,-8.6301239,Clouds,57.09,89,57.09,100,1669473129,17.43
46,nago,26.5914524,127.9773062,Clouds,68.34,78,68.36,72,1669473134,13.09
47,oktyabrskiy,55.6086034,37.9743705,Clouds,21.54,93,23.68,100,1669473138,8.95
48,goa velha,15.4409533,73.8817296,Clouds,82.29,83,82.29,20,1669473143,5.75
49,vila velha,-20.3297037,-40.2920174,Clouds,82.35,61,82.35,75,1669473146,11.5
50,barrow,71.2905556,-156.788611,Snow,8.62,78,8.62,100,1669473150,8.05
51,kropotkin,45.4344413,40.5750274,Clouds,45.66,80,45.66,100,1669473154,9.19
52,kirakira,-10.4568963,161.9201736,Clouds,80.31,81,80.31,73,1669473158,4.07
53,butaritari,2.9205375,172.91886331442205,Rain,79.25,81,79.25,100,1669473161,5.73
54,thinadhoo,0.5326429,72.99714160821568,Clouds,81.86,73,81.86,93,1669473165,9.69
55,port lincoln,-34.7211905,135.8592218,Clouds,57.97,80,57.97,38,1669473169,9.75
56,codrington,51.508188,-2.3936619,Rain,51.78,90,53.89,100,1669473173,5.99
57,limbang,4.7534355,115.0093036,Clouds,78.03,96,78.89,98,1669473178,1.28
58,geraldton,-28.77035,114.6147159,Clear,66.36,72,66.36,3,1669473181,17.27
59,yomou,7.5695786,-9.2597491,Clear,92.37,29,92.37,2,1669473185,1.25
60,vanimo,-2.6847646,141.3009131,Clouds,79.02,78,79.02,60,1669473189,2.1
61,half moon bay,52.3472138,-114.1766304,Clouds,19.26,87,19.26,26,1669473196,6.04
62,pevek,69.7028171,170.2746851,Clouds,-16.65,98,-16.65,95,1669473200,6.13
63,hobart,-42.8825088,147.3281233,Clouds,54.86,78,57.0,100,1669472904,13.8
64,waw,7.7001398,27.9909335,Clouds,93.43,19,93.43,87,1669473208,4.61
65,buala,-8.145546,159.5930366,Clouds,79.57,81,79.57,29,1669473212,3.85
66,port elizabeth,-33.9617051,25.6207519,Clear,69.91,60,70.16,0,1669473216,13.8
67,muli,27.9291894,101.2787073,Clear,41.76,57,41.76,0,1669473223,4.56
68,harper,41.3624875,-92.0510088,Clouds,34.34,77,36.45,33,1669473230,9.84
69,cape town,-33.928992,18.417396,Clouds,67.1,54,72.88,20,1669473235,31.07
70,kapaa,22.0747334,-159.3191601,Rain,68.32,81,70.12,100,1669473239,20.71
71,tuktoyaktuk,69.4440189,-133.031904,Snow,5.0,85,5.0,100,1669473243,11.5
72,qaqortoq,60.718202,-46.0385214,Clouds,31.95,76,31.95,90,1669473247,5.19
73,talesh,37.7974981,48.904184,Clouds,64.29,69,64.29,36,1669473251,3.44
74,ilulissat,69.2197127,-51.0986385,Clouds,14.29,79,14.29,75,1669473256,3.44
75,cabo san lucas,22.8938884,-109.9200604,Clear,70.32,66,70.32,0,1669473261,3.6
76,sao filipe,14.8952963,-24.4969361,Clear,78.98,64,78.98,0,1669473265,10.94
77,hermanus,-34.4175,19.2361111,Clouds,68.85,58,68.85,15,1669473270,20.11
78,yumen,40.2916528,97.0448526,Clouds,33.35,37,33.35,32,1669473274,5.26
79,castro,45.802987,10.06706,Clear,54.18,72,57.76,7,1669473278,0.81
80,mehamn,71.0389923,27.8517589,Clouds,26.55,80,28.31,22,1669473282,13.8
81,havelock,34.8785,-76.9014457,Clear,52.25,74,55.38,0,1669473285,10.36
82,paamiut,61.994618,-49.6659478,Clouds,23.02,86,23.02,19,1669473289,9.28
83,paez,2.92296655,-76.4640462290593,Clouds,68.22,67,68.22,90,1669473293,3.78
84,ribeira grande,37.8225227,-25.5194914,Clouds,64.13,99,64.13,20,1669473297,10.36
85,salvador,-12.9822499,-38.4812772,Clouds,85.73,70,85.73,75,1669473301,17.27
86,chapais,49.7829998,-74.8572812,Clouds,26.35,90,26.35,100,1669473305,11.18
87,dikson,73.5083894,80.5123816,Snow,12.69,94,12.69,100,1669473308,14.47
88,san carlos de bariloche,-41.1334421,-71.3098425,Clear,84.25,22,84.25,0,1669473313,3.44
